AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/17 11:19:53 219,M_1-PreAMP-S_2-D_1_50 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/17 11:22:32 765,194.800,-22.047,229106504,194800366,406960802,24.216, 8.640, 8.550, 0.000, 0.000,-45.555,23.519 

2020/02/17 11:22:33 749,194.800,-21.891,244295853,194800355,405062047,24.175, 8.856, 8.813, 0.000, 0.000,-45.483,23.588 

2020/02/17 11:22:34 735,194.800,-22.028,232903894,194800387,405062152,24.091, 8.812, 8.732, 0.000, 0.000,-45.565,23.534 

2020/02/17 11:22:35 697,194.800,-21.958,244295885,194800365,406327760,24.240, 8.759, 8.681, 0.000, 0.000,-45.480,23.502 

2020/02/17 11:22:36 703,194.800,-22.021,237966992,194800377,406707691,24.225, 8.705, 8.610, 0.000, 0.000,-45.548,23.523 

2020/02/17 11:22:37 688,194.800,-21.970,226574911,194800356,406327919,24.298, 8.671, 8.618, 0.000, 0.000,-45.487,23.513 

2020/02/17 11:22:38 673,194.800,-22.036,235435397,194800364,406328130,24.148, 8.735, 8.682, 0.000, 0.000,-45.498,23.453 

2020/02/17 11:22:39 657,194.800,-22.044,224043347,194800358,407087516,24.286, 8.614, 8.531, 0.000, 0.000,-45.554,23.591 

2020/02/17 11:22:40 640,194.800,-21.989,241764290,194800358,406454527,24.191, 8.775, 8.675, 0.000, 0.000,-45.488,23.495 

2020/02/17 11:22:41 627,194.800,-22.033,236701225,194800381,405695141,24.149, 8.709, 8.686, 0.000, 0.000,-45.560,23.524 

2020/02/17 11:22:42 587,194.800,-22.027,236701164,194800350,406201205,24.198, 8.695, 8.656, 0.000, 0.000,-45.489,23.467 

2020/02/17 11:22:43 595,194.800,-21.950,244295949,194800389,405695141,24.199, 8.787, 8.745, 0.000, 0.000,-45.554,23.600 

2020/02/17 11:22:44 577,194.800,-22.022,226574940,194800371,406834352,24.288, 8.635, 8.550, 0.000, 0.000,-45.485,23.460 

2020/02/17 11:22:45 562,194.800,-22.013,244295885,194800371,405694983,24.123, 8.814, 8.694, 0.000, 0.000,-45.493,23.475 

2020/02/17 11:22:46 546,194.800,-22.016,225309173,194800371,406454474,24.273, 8.629, 8.568, 0.000, 0.000,-45.559,23.616 

2020/02/17 11:22:47 531,194.800,-21.936,235435397,194800364,407847008,24.358, 8.634, 8.533, 0.000, 0.000,-45.482,23.543 

2020/02/17 11:22:48 516,194.800,-22.005,244295853,194800359,406834405,24.245, 8.671, 8.581, 0.000, 0.000,-45.490,23.481 

2020/02/17 11:22:49 489,194.800,-22.022,235435428,194800375,407087463,24.221, 8.676, 8.605, 0.000, 0.000,-45.485,23.478 

2020/02/17 11:22:50 486,194.800,-21.978,243030056,194800346,405315211,24.115, 8.867, 8.761, 0.000, 0.000,-45.493,23.511 

