AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:38:38 704,M_1-PreAMP-S_3-2-D_1_25 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:40:09 698,194.802,-20.752,183667587,194801772,291642360,11.863,13.374,13.314, 0.000, 0.000,-47.369,26.589 

2020/02/12 20:40:10 681,194.802,-20.764,182528403,194801795,290123390,11.773,13.455,13.391, 0.000, 0.000,-47.391,26.613 

2020/02/12 20:40:11 668,194.802,-20.775,181768899,194801779,291009361,11.846,13.367,13.301, 0.000, 0.000,-47.392,26.603 

2020/02/12 20:40:12 641,194.802,-20.865,183540995,194801766,291768960,11.782,13.344,13.279, 0.000, 0.000,-47.376,26.593 

2020/02/12 20:40:13 634,194.803,-20.757,182401811,194801787,290123390,11.749,13.481,13.417, 0.000, 0.000,-47.382,26.611 

2020/02/12 20:40:14 619,194.802,-20.751,181768875,194801768,289363792,11.688,13.548,13.488, 0.000, 0.000,-47.374,26.609 

2020/02/12 20:40:15 582,194.801,-20.749,183794155,194801769,291642360,11.845,13.394,13.334, 0.000, 0.000,-47.369,26.593 

2020/02/12 20:40:16 588,194.802,-20.763,182654971,194801785,290629713,11.764,13.460,13.384, 0.000, 0.000,-47.399,26.623 

2020/02/12 20:40:17 572,194.803,-20.753,182528403,194801795,290376551,11.804,13.433,13.370, 0.000, 0.000,-47.384,26.617 

2020/02/12 20:40:18 536,194.802,-20.772,181895420,194801746,289490316,11.622,13.583,13.536, 0.000, 0.000,-47.392,26.620 

2020/02/12 20:40:19 543,194.801,-20.762,182654900,194801746,290629600,11.709,13.521,13.452, 0.000, 0.000,-47.384,26.609 

2020/02/12 20:40:20 527,194.801,-20.750,183287812,194801752,291642322,11.855,13.388,13.323, 0.000, 0.000,-47.373,26.609 

2020/02/12 20:40:21 499,194.802,-20.749,181895420,194801751,290123314,11.677,13.563,13.501, 0.000, 0.000,-47.386,26.627 

2020/02/12 20:40:22 496,194.802,-20.764,182654876,194801736,293920740,12.090,13.137,13.076, 0.000, 0.000,-47.376,26.598 

2020/02/12 20:40:23 479,194.803,-20.752,183287812,194801754,291768922,11.807,13.432,13.368, 0.000, 0.000,-47.373,26.608 

2020/02/12 20:40:24 462,194.802,-20.755,182908155,194801801,289996715,11.653,13.586,13.520, 0.000, 0.000,-47.386,26.617 

2020/02/12 20:40:25 449,194.801,-20.766,182528308,194801738,294047378,12.102,13.124,13.054, 0.000, 0.000,-47.379,26.609 

2020/02/12 20:40:26 431,194.801,-20.753,183287835,194801767,291389161,11.778,13.461,13.395, 0.000, 0.000,-47.369,26.602 

2020/02/12 20:40:27 417,194.803,-20.760,182401858,194801813,290249952,11.703,13.524,13.469, 0.000, 0.000,-47.389,26.615 

2020/02/12 20:40:28 402,194.802,-20.757,182654852,194801722,293667540,12.099,13.136,13.075, 0.000, 0.000,-47.378,26.611 

2020/02/12 20:40:29 384,194.802,-20.761,183794179,194801776,291389199,11.814,13.414,13.338, 0.000, 0.000,-47.387,26.612 

2020/02/12 20:40:30 368,194.803,-20.762,182654947,194801773,290123277,11.652,13.570,13.508, 0.000, 0.000,-47.395,26.618 

2020/02/12 20:40:31 342,194.801,-20.856,183034604,194801727,293920702,12.041,13.091,13.025, 0.000, 0.000,-47.392,26.632 

2020/02/12 20:40:32 338,194.802,-20.828,183667587,194801774,291895560,11.828,13.329,13.263, 0.000, 0.000,-47.392,26.550 

2020/02/12 20:40:33 324,194.802,-20.747,182401811,194801789,289490466,11.694,13.545,13.489, 0.000, 0.000,-47.391,26.630 

2020/02/12 20:40:34 285,194.803,-20.763,181768852,194801752,289743478,11.643,13.582,13.519, 0.000, 0.000,-47.391,26.612 

2020/02/12 20:40:35 291,194.803,-20.760,183034628,194801740,294553702,12.151,13.077,13.013, 0.000, 0.000,-47.375,26.601 

2020/02/12 20:40:36 275,194.802,-20.752,183414451,194801787,291136037,11.803,13.422,13.362, 0.000, 0.000,-47.391,26.625 

2020/02/12 20:40:37 239,194.801,-20.760,181389124,194801761,289996715,11.726,13.500,13.436, 0.000, 0.000,-47.388,26.612 

2020/02/12 20:40:38 246,194.803,-20.760,182781468,194801744,293414378,12.080,13.151,13.084, 0.000, 0.000,-47.375,26.601 

2020/02/12 20:40:39 228,194.801,-20.760,183414427,194801771,291642398,11.832,13.398,13.320, 0.000, 0.000,-47.368,26.594 

2020/02/12 20:40:40 203,194.802,-20.753,182148556,194801734,293161255,12.046,13.193,13.123, 0.000, 0.000,-47.392,26.642 

2020/02/12 20:40:41 198,194.802,-20.752,183161220,194801748,291895484,11.838,13.397,13.338, 0.000, 0.000,-47.380,26.614 

2020/02/12 20:40:42 182,194.803,-20.762,183414427,194801775,290629713,11.757,13.472,13.406, 0.000, 0.000,-47.383,26.607 

2020/02/12 20:40:43 165,194.803,-20.753,182781492,194801753,289363679,11.666,13.570,13.510, 0.000, 0.000,-47.388,26.618 

2020/02/12 20:40:44 152,194.803,-20.747,183414380,194801748,291642322,11.775,13.457,13.396, 0.000, 0.000,-47.384,26.619 

2020/02/12 20:40:45 134,194.803,-20.767,182655018,194801814,291515874,11.911,13.308,13.243, 0.000, 0.000,-47.392,26.611 

2020/02/12 20:40:46 120,194.803,-20.752,182654900,194801743,293414378,12.118,13.120,13.059, 0.000, 0.000,-47.384,26.618 

2020/02/12 20:40:47 105,194.801,-20.765,183414427,194801771,292148722,11.877,13.346,13.285, 0.000, 0.000,-47.375,26.607 

2020/02/12 20:40:48 874,194.803,-20.761,183414451,194801787,290756275,11.784,13.428,13.368, 0.000, 0.000,-47.389,26.614 

2020/02/12 20:40:49 748,194.801,-20.759,182528332,194801751,290502962,11.728,13.491,13.440, 0.000, 0.000,-47.394,26.621 

2020/02/12 20:40:50 479,194.802,-20.760,183414403,194801764,292148646,11.848,13.381,13.323, 0.000, 0.000,-47.370,26.592 

2020/02/12 20:40:51 409,194.802,-20.771,183034723,194801794,290882913,11.786,13.429,13.365, 0.000, 0.000,-47.389,26.603 

2020/02/12 20:40:52 260,194.802,-20.755,181895467,194801775,288730869,11.640,13.595,13.527, 0.000, 0.000,-47.391,26.623 

2020/02/12 20:40:52 989,194.802,-20.761,183414427,194801773,292275284,11.874,13.357,13.288, 0.000, 0.000,-47.373,26.584 

2020/02/12 20:40:53 994,194.802,-20.779,182908131,194801788,290882913,11.801,13.408,13.349, 0.000, 0.000,-47.392,26.598 

2020/02/12 20:40:54 978,194.802,-20.765,182908131,194801786,290249952,11.753,13.474,13.410, 0.000, 0.000,-47.394,26.615 

2020/02/12 20:40:55 942,194.803,-20.759,181768852,194801756,289363716,11.626,13.590,13.526, 0.000, 0.000,-47.401,26.635 

2020/02/12 20:40:56 949,194.802,-20.757,183034675,194801761,291135961,11.742,13.493,13.426, 0.000, 0.000,-47.378,26.607 

2020/02/12 20:40:57 931,194.803,-20.870,183414403,194801763,292275322,11.831,13.291,13.222, 0.000, 0.000,-47.373,26.489 

2020/02/12 20:40:58 905,194.802,-20.765,181768852,194801754,290123314,11.655,13.576,13.506, 0.000, 0.000,-47.392,26.610 

2020/02/12 20:40:59 901,194.802,-20.761,182781468,194801743,294553663,12.143,13.088,13.025, 0.000, 0.000,-47.378,26.603 

2020/02/12 20:41:00 885,194.799,-20.822,183667540,194801747,291515723,11.803,13.369,13.301, 0.000, 0.000,-47.373,26.537 

2020/02/12 20:41:01 868,194.802,-20.758,182654971,194801789,290123314,11.649,13.585,13.522, 0.000, 0.000,-47.391,26.615 

2020/02/12 20:41:02 852,194.803,-20.740,183034652,194801757,291515723,11.806,13.444,13.383, 0.000, 0.000,-47.380,26.610 

2020/02/12 20:41:03 837,194.803,-20.766,183287859,194801784,291262674,11.820,13.407,13.341, 0.000, 0.000,-47.390,26.609 

2020/02/12 20:41:04 822,194.802,-20.772,182654924,194801766,290756162,11.722,13.493,13.432, 0.000, 0.000,-47.393,26.608 

2020/02/12 20:41:05 808,194.802,-20.775,183414403,194801758,291642322,11.782,13.436,13.367, 0.000, 0.000,-47.380,26.605 

2020/02/12 20:41:06 790,194.802,-20.865,183667587,194801771,291009437,11.745,13.380,13.314, 0.000, 0.000,-47.373,26.493 

2020/02/12 20:41:07 777,194.803,-20.866,183161244,194801760,290249839,11.579,13.548,13.482, 0.000, 0.000,-47.394,26.514 

2020/02/12 20:41:08 750,194.802,-20.770,183414403,194801760,291768922,11.805,13.412,13.351, 0.000, 0.000,-47.373,26.566 

2020/02/12 20:41:09 743,194.801,-20.760,183541043,194801792,291009513,11.803,13.426,13.350, 0.000, 0.000,-47.402,26.627 

2020/02/12 20:41:10 728,194.802,-20.774,182275243,194801794,289363867,11.664,13.549,13.487, 0.000, 0.000,-47.394,26.606 

2020/02/12 20:41:11 691,194.803,-20.767,183287812,194801755,291895484,11.796,13.428,13.367, 0.000, 0.000,-47.395,26.601 

2020/02/12 20:41:12 697,194.803,-20.871,183667587,194801775,290882875,11.728,13.391,13.322, 0.000, 0.000,-47.393,26.508 

2020/02/12 20:41:13 681,194.802,-20.756,182908155,194801797,291009513,11.829,13.404,13.336, 0.000, 0.000,-47.389,26.619 

2020/02/12 20:41:14 645,194.802,-20.864,181895444,194801763,289110592,11.564,13.556,13.496, 0.000, 0.000,-47.389,26.609 

2020/02/12 20:41:15 650,194.802,-20.764,182528308,194801741,293540978,12.070,13.158,13.093, 0.000, 0.000,-47.371,26.593 

2020/02/12 20:41:16 636,194.802,-20.755,182401740,194801749,291009361,11.777,13.457,13.384, 0.000, 0.000,-47.372,26.602 

2020/02/12 20:41:17 604,194.803,-20.761,182022083,194801791,290250027,11.703,13.528,13.461, 0.000, 0.000,-47.369,26.604 

2020/02/12 20:41:18 605,194.802,-20.763,181768875,194801768,289743553,11.707,13.520,13.459, 0.000, 0.000,-47.385,26.608 

2020/02/12 20:41:19 587,194.803,-20.765,182781468,194801743,293794216,12.081,13.140,13.081, 0.000, 0.000,-47.360,26.581 

2020/02/12 20:41:20 573,194.802,-20.763,182655042,194801824,290250027,11.705,13.519,13.454, 0.000, 0.000,-47.368,26.588 

2020/02/12 20:41:21 558,194.801,-20.747,182022012,194801754,289490354,11.677,13.561,13.502, 0.000, 0.000,-47.388,26.613 

2020/02/12 20:41:22 541,194.802,-20.758,182654900,194801749,291009361,11.724,13.493,13.444, 0.000, 0.000,-47.366,26.594 

2020/02/12 20:41:23 523,194.802,-20.761,182275314,194801831,290376589,11.712,13.504,13.439, 0.000, 0.000,-47.375,26.599 

2020/02/12 20:41:24 508,194.803,-20.750,181515715,194801766,289743553,11.733,13.507,13.442, 0.000, 0.000,-47.380,26.616 

2020/02/12 20:41:25 494,194.803,-20.743,182654900,194801745,291009361,11.745,13.502,13.437, 0.000, 0.000,-47.379,26.622 

2020/02/12 20:41:26 478,194.801,-20.753,182655042,194801821,290250027,11.677,13.555,13.495, 0.000, 0.000,-47.384,26.617 

2020/02/12 20:41:27 459,194.802,-20.750,181768852,194801753,289743478,11.654,13.586,13.525, 0.000, 0.000,-47.391,26.520 

2020/02/12 20:41:28 446,194.802,-20.752,183161220,194801747,291515685,11.793,13.443,13.380, 0.000, 0.000,-47.375,26.609 

2020/02/12 20:41:29 433,194.803,-20.767,182908131,194801785,291515836,11.847,13.377,13.312, 0.000, 0.000,-47.392,26.610 

2020/02/12 20:41:30 394,194.802,-20.750,181895444,194801759,289363754,11.650,13.591,13.527, 0.000, 0.000,-47.392,26.638 

2020/02/12 20:41:31 399,194.802,-20.749,182781468,194801746,291009361,11.739,13.490,13.440, 0.000, 0.000,-47.376,26.613 

2020/02/12 20:41:32 384,194.802,-20.866,183794179,194801776,291389161,11.762,13.362,13.296, 0.000, 0.000,-47.390,26.509 

2020/02/12 20:41:33 348,194.802,-20.759,181515739,194801780,289237192,11.648,13.582,13.520, 0.000, 0.000,-47.391,26.504 

2020/02/12 20:41:34 355,194.803,-20.753,182401716,194801732,293287855,12.070,13.167,13.107, 0.000, 0.000,-47.376,26.608 

