AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:37:42 402,194.800,-25.706,235436591,194800851, 0.000,28.726,0.09724275,0.02869447, 0.000, 0.000,-46.649,20.937 

2020/02/13 16:37:43 375,194.800,-25.720,243031319,194800853, 0.000,28.707,0,0.05612156, 0.000, 0.000,-46.601,21.054 

2020/02/13 16:37:44 369,194.800,-25.595,231639181,194800839, 0.000,28.849,0.07303731,0.00929033, 0.000, 0.000,-46.630,21.029 

2020/02/13 16:37:45 356,194.800,-25.758,236702363,194800850, 0.000,28.676,0,0.05230699, 0.000, 0.000,-46.628,20.863 

2020/02/13 16:37:46 321,194.800,-25.582,245562864,194800838, 0.000,28.860,0.09466318,0.01917838, 0.000, 0.000,-46.630,20.914 

2020/02/13 16:37:47 325,194.800,-25.628,231639151,194800825, 0.000,28.805,0,0.03367909, 0.000, 0.000,-46.622,20.988 

2020/02/13 16:37:48 309,194.800,-25.750,231639241,194800865, 0.000,28.668,0,0.02988806, 0.000, 0.000,-46.620,20.863 

2020/02/13 16:37:49 294,194.800,-25.623,244297092,194800849, 0.000,28.835,0.08551108,-0.00146965, 0.000, 0.000,-46.634,21.004 

2020/02/13 16:37:50 277,194.800,-25.704,236702394,194800860, 0.000,28.725,0.09929602,0.02633633, 0.000, 0.000,-46.647,21.165 

2020/02/13 16:37:51 261,194.800,-25.492,229107635,194800848, 0.000,28.937,0,0.03273238, 0.000, 0.000,-46.614,21.116 

2020/02/13 16:37:52 248,194.800,-25.643,248094407,194800829, 0.000,28.819,0.08786618,0, 0.000, 0.000,-46.614,20.964 

2020/02/13 16:37:53 207,194.800,-25.652,240499712,194800843, 0.000,28.771,0,0.03160384, 0.000, 0.000,-46.641,21.005 

2020/02/13 16:37:54 215,194.800,-25.654,227841891,194800865, 0.000,28.788,0.08027278,0.03551850, 0.000, 0.000,-46.619,20.958 

2020/02/13 16:37:55 200,194.800,-25.718,240499743,194800854, 0.000,28.710,0,0.03610563, 0.000, 0.000,-46.655,20.931 

2020/02/13 16:37:56 185,194.800,-25.696,237968105,194800833, 0.000,28.773,0.06615227,-0.00907114, 0.000, 0.000,-46.645,20.926 

2020/02/13 16:37:57 167,194.800,-25.705,227841832,194800840, 0.000,28.741,0.09065792,0.02014793, 0.000, 0.000,-46.637,20.990 

2020/02/13 16:37:58 152,194.800,-25.709,236702363,194800850, 0.000,28.773,0.04925251,-0.05207595, 0.000, 0.000,-46.610,20.895 

2020/02/13 16:37:59 135,194.800,-25.463,243031256,194800827, 0.000,28.986,0.09032206,0.01251001, 0.000, 0.000,-46.623,21.154 

2020/02/13 16:38:00 989,194.800,-25.638,230373408,194800843, 0.000,28.805,0.07921078,-0.02092205, 0.000, 0.000,-46.649,21.094 

2020/02/13 16:38:01 104,194.800,-25.473,232905045,194800867, 0.000,28.938,0,0.06613295, 0.000, 0.000,-46.622,21.142 

2020/02/13 16:38:02 894,194.800,-25.449,245562864,194800846, 0.000,29.010,0.07644685,0.01829580, 0.000, 0.000,-46.616,21.161 

2020/02/13 16:38:03 745,194.800,-25.719,237968136,194800843, 0.000,28.724,0.09026643,0.04307701, 0.000, 0.000,-46.622,20.968 

2020/02/13 16:38:04 582,194.800,-25.696,224044483,194800848, 0.000,28.735,0,0.05102110, 0.000, 0.000,-46.614,20.921 

2020/02/13 16:38:05 432,194.800,-25.569,245562864,194800845, 0.000,28.899,0.05868279,-0.04360765, 0.000, 0.000,-46.625,21.050 

2020/02/13 16:38:06 276,194.800,-25.662,230373408,194800839, 0.000,28.765,0,0.03431176, 0.000, 0.000,-46.632,20.964 

2020/02/13 16:38:06 780,194.800,-25.737,224044483,194800845, 0.000,28.700,0.08540025,0.02857510, 0.000, 0.000,-46.648,20.900 

2020/02/13 16:38:07 995,194.800,-25.487,244297092,194800844, 0.000,28.933,0,0.04978995, 0.000, 0.000,-46.615,21.122 

2020/02/13 16:38:08 980,194.800,-25.488,234170726,194800819, 0.000,28.971,0.07010482,0.02657784, 0.000, 0.000,-46.631,21.137 

2020/02/13 16:38:09 946,194.800,-25.583,226576030,194800837, 0.000,28.855,0.09293627,0.00930015, 0.000, 0.000,-46.627,20.968 

2020/02/13 16:38:10 950,194.800,-25.485,243031288,194800842, 0.000,28.944,0.07828267,0.04376880, 0.000, 0.000,-46.612,21.121 

2020/02/13 16:38:11 933,194.800,-25.646,236702333,194800841, 0.000,28.793,0.07685916,0.04388844, 0.000, 0.000,-46.656,21.004 

2020/02/13 16:38:12 918,194.800,-25.570,229107635,194800848, 0.000,28.859,0.09693344,0.04177073, 0.000, 0.000,-46.619,21.043 

2020/02/13 16:38:13 901,194.800,-25.647,237968198,194800863, 0.000,28.801,0.06705492,0.03094708, 0.000, 0.000,-46.634,20.897 

