AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:52:40 253,M_1-PreAMP-S_3-2-D_1_125_6H 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:55:19 774,194.802,-23.969,182402190,194801989,318988724,15.821, 5.898, 5.831, 0.000, 0.000,-47.228,23.320 

2020/02/12 20:55:20 780,194.804,-23.960,183161743,194802027,320634321,15.983, 5.744, 5.690, 0.000, 0.000,-47.219,23.229 

2020/02/12 20:55:21 764,194.804,-23.930,183414952,194802048,321520589,16.101, 5.651, 5.603, 0.000, 0.000,-47.223,23.263 

2020/02/12 20:55:22 737,194.804,-23.956,182275693,194802033,318482392,15.841, 5.889, 5.824, 0.000, 0.000,-47.224,23.331 

2020/02/12 20:55:23 734,194.803,-23.937,183161767,194802033,320381239,16.000, 5.751, 5.696, 0.000, 0.000,-47.222,23.255 

2020/02/12 20:55:24 716,194.804,-23.953,183161743,194802031,321267382,16.054, 5.683, 5.624, 0.000, 0.000,-47.222,23.239 

2020/02/12 20:55:25 700,194.805,-23.955,182908654,194802063,318482392,15.820, 5.920, 5.860, 0.000, 0.000,-47.225,23.251 

2020/02/12 20:55:26 687,194.803,-23.853,182655375,194802000,320127990,16.037, 5.795, 5.736, 0.000, 0.000,-47.223,23.354 

2020/02/12 20:55:27 669,194.805,-23.856,183035246,194802066,320254718,16.089, 5.743, 5.680, 0.000, 0.000,-47.224,23.338 

2020/02/12 20:55:28 655,194.804,-23.936,182908630,194802054,317216440,15.754, 5.992, 5.935, 0.000, 0.000,-47.231,23.265 

2020/02/12 20:55:29 640,194.804,-23.951,183035151,194802022,320381156,15.987, 5.760, 5.689, 0.000, 0.000,-47.225,23.245 

2020/02/12 20:55:30 622,194.804,-23.943,183288383,194802058,320128156,16.026, 5.717, 5.659, 0.000, 0.000,-47.231,23.259 

2020/02/12 20:55:31 606,194.804,-23.929,182655493,194802063,319748304,15.908, 5.851, 5.785, 0.000, 0.000,-47.225,23.266 

2020/02/12 20:55:32 583,194.804,-23.951,183414904,194802025,321520506,16.042, 5.703, 5.645, 0.000, 0.000,-47.220,23.263 

2020/02/12 20:55:33 575,194.805,-23.843,182655517,194802076,321647277,16.145, 5.698, 5.639, 0.000, 0.000,-47.223,23.351 

2020/02/12 20:55:34 561,194.804,-23.923,181516282,194802067,318735765,15.889, 5.878, 5.817, 0.000, 0.000,-47.223,23.270 

2020/02/12 20:55:35 523,194.804,-23.936,183035199,194802041,321647109,16.092, 5.660, 5.599, 0.000, 0.000,-47.226,23.239 

2020/02/12 20:55:36 529,194.803,-23.940,182782062,194802061,320761133,16.042, 5.703, 5.643, 0.000, 0.000,-47.231,23.261 

2020/02/12 20:55:37 512,194.804,-23.930,183035246,194802075,319621825,15.984, 5.770, 5.719, 0.000, 0.000,-47.225,23.265 

