AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/09 08:18:43 250,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/09 08:21:41 479,194.801,-21.091,179237252,194801758,382146677,13.818,12.690,12.668, 0.000, 0.000,-41.651,20.505 

2019/10/09 08:21:42 489,194.801,-21.099,179237229,194801740,381133933,13.784,12.720,12.702, 0.000, 0.000,-41.639,20.485 

2019/10/09 08:21:43 472,194.801,-21.032,181009513,194801826,382273382,13.840,12.741,12.705, 0.000, 0.000,-41.656,20.569 

2019/10/09 08:21:44 460,194.801,-21.032,181009513,194801826,382273382,13.840,12.741,12.705, 0.000, 0.000,-41.736,20.493 

2019/10/09 08:21:45 445,194.801,-21.188,180503169,194801813,381387144,13.739,12.667,12.648, 0.000, 0.000,-41.736,20.493 

2019/10/09 08:21:46 428,194.801,-21.180,179110824,194801836,384551882,14.014,12.409,12.385, 0.000, 0.000,-41.744,20.508 

